100 -8930.2908802398
62 6.2341376583
1 0.1095386767
10 0.2174167651
20 0.2460658591
30 0.2621030419
40 0.2731912709
50 0.2816367942
60 0.2884414629
61 3.1090818416
60 0.2884414629
1 0.1095386767
10 0.2174167651
70 976.5776770933
70 1059.4215876866
70 973.0486045328
70 866.5776052572
70 956.0918206079
60 0.2884414629
60 0.2884414629
61 2.7729032901
4 0.1767653520
4 0.1767653520
40 0.2731912709
50 0.2816367942
70 1059.6530255709
70 1174.5803964497
70 1077.6659645950
70 1251.8318228284
60 0.2884414629
60 0.2884414629
61 2.3283851314
61 2.1422367753
61 2.5458949129
60 0.2884414629
61 0.2890542368
71 0.2946505683
500 0.3621715706
71 0.2946505683
81 0.2994632064
91 0.3036809653
500 0.3621715706
500 0.3621715706
2500 0.4189876430
5000 0.4743540351
7000 0.5186459700
