100 -9039.1117188827
100 -9635.2429457102
1 -0.1488205294
2 -0.2060255793
10 -0.3438652630
50 -0.4792451593
100 -9652.4844434417
90 -6092.8662711266
80 -3797.0374261599
60 -0.4943833567
70 -1235.9080323843
70 -1129.7606045552
70 -956.4824923057
70 -1042.3106596824
70 -1024.3134784373
20 -0.4025704992
20 -0.4025704992
1 -0.1488205294
1 0.1488205294
100 9586.8099506534
70 1098.8884341865
60 0.4943833567
1 0.1488205294
1 0.1488205294
2 0.2060255793
70 978.8824461504
69 1194.1714221457
60 0.4943833567
61 3.4402830473
62 7.3267100174
