20 20 1 0.379898
20 20 6 0.452945
20 20 11 0.469333
20 20 16 0.476820
20 20 21 0.481033
20 20 26 0.483681
20 20 31 0.485468
20 20 36 0.486736
20 20 41 0.487671
20 20 46 0.488381
20 20 51 0.488933
20 20 56 0.489372
20 20 61 0.489726
10 20 1 0.367121
10 20 6 0.434453
10 20 11 0.447794
10 20 16 0.453442
10 20 21 0.456453
10 20 26 0.458271
10 20 31 0.459458
10 20 36 0.460279
10 20 41 0.460872
10 20 46 0.461314
10 20 51 0.461652
10 20 56 0.461917
10 20 61 0.462129
10 20 1 0.367121
10 20 6 0.434453
10 20 11 0.447794
10 20 16 0.453442
10 20 21 0.456453
10 20 26 0.458271
10 20 31 0.459458
10 20 36 0.460279
10 20 41 0.460872
10 20 46 0.461314
10 20 51 0.461652
10 20 56 0.461917
10 20 61 0.462129
10 20 1 0.367121
10 20 6 0.434453
10 20 11 0.447794
10 20 16 0.453442
10 20 21 0.456453
10 20 26 0.458271
10 20 31 0.459458
10 20 36 0.460279
10 20 41 0.460872
10 20 46 0.461314
10 20 51 0.461652
10 20 56 0.461917
10 20 61 0.462129
20 20 1 0.376037
20 20 6 0.452860
20 20 11 0.469344
20 20 16 0.476837
20 20 21 0.481048
20 20 26 0.483692
20 20 31 0.485477
20 20 36 0.486743
20 20 41 0.487676
20 20 46 0.488385
20 20 51 0.488936
20 20 56 0.489374
20 20 61 0.489728
20 20 1 0.376037
20 20 6 0.452860
20 20 11 0.469344
20 20 16 0.476837
20 20 21 0.481048
20 20 26 0.483692
20 20 31 0.485477
20 20 36 0.486743
20 20 41 0.487676
20 20 46 0.488385
20 20 51 0.488936
20 20 56 0.489374
20 20 61 0.489728
